ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8
1.125,0.083,2.417,0.167,1.125,0.458,3.792,2.417
0.958,0.083,2.417,0.208,1.375,0.958,3.542,2.333
3.375,0.083,2.458,0.25,0.917,0.917,3.583,2.625
1.042,0.25,2.458,0.417,1,0.958,3.542,2.583
1,1.375,2.083,0.875,1.792,1.042,4.208,2.667
1,0.417,2.5,0.208,1.833,1,3.667,2.5
1.083,0.083,2.417,0.333,1.5,1,3.458,2.458
1.208,0.042,2.708,0.25,1.625,1.083,3.458,2.458
1.208,0.083,2.417,0.208,1.5,1.333,3.708,2.542
1.042,0.083,2.792,0.292,1.417,0.917,3.5,2.375
1.042,0.25,2.375,0.25,1.542,1,3.542,2.417
1,0.083,2.417,0.167,1.292,0.917,3.833,2.375
1,0.042,2.458,0.208,1.333,1,4.417,2.375
1.042,0.083,2.5,0.292,1.5,1.667,3.5,2.375
1.083,0.083,2.458,0.167,0.625,1.208,3.417,2.375
1.083,0.208,2.542,0.25,1.125,1.042,3.5,2.417
1.042,0.167,2.583,0.25,1.625,0.958,3.417,2.375
1.125,0.333,2.583,0.25,0.75,1.208,3.458,2.458
1.042,0.292,2.5,0.167,1.5,0.958,3.375,2.5
1.083,0.292,2.5,0.458,1.542,1.042,3.417,2.375
1.042,0.208,2.5,0.25,1.5,1.042,3.417,2.5
1.125,0.292,2.458,0.292,0.833,1.042,3.458,2.333
1.25,0.25,2.583,0.458,1.583,1.208,3.542,2.417
1.042,0.667,2.375,0.208,0.667,0.958,3.458,2.542
1.125,0.208,2.542,0.208,1.75,1.208,3.708,2.583
1.125,0.208,2.542,0.375,1.5,0.958,3.5,2.625
1.083,0.083,2.5,0.208,0.708,1.083,3.625,2.417
1.042,0.042,2.458,0.25,0.708,1.042,3.333,2.375
