variable,value,Table
ts1,1.125,data413
ts1,0.958,data413
ts1,3.375,data413
ts1,1.042,data413
ts1,1.0,data413
ts1,1.0,data413
ts1,1.083,data413
ts1,1.208,data413
ts1,1.208,data413
ts1,1.042,data413
ts1,1.042,data413
ts1,1.0,data413
ts1,1.0,data413
ts1,1.042,data413
ts1,1.083,data413
ts1,1.083,data413
ts1,1.042,data413
ts1,1.125,data413
ts1,1.042,data413
ts1,1.083,data413
ts1,1.042,data413
ts1,1.125,data413
ts1,1.25,data413
ts1,1.042,data413
ts1,1.125,data413
ts1,1.125,data413
ts1,1.083,data413
ts1,1.042,data413
ts2,0.083,data413
ts2,0.083,data413
ts2,0.083,data413
ts2,0.25,data413
ts2,1.375,data413
ts2,0.417,data413
ts2,0.083,data413
ts2,0.042,data413
ts2,0.083,data413
ts2,0.083,data413
ts2,0.25,data413
ts2,0.083,data413
ts2,0.042,data413
ts2,0.083,data413
ts2,0.083,data413
ts2,0.208,data413
ts2,0.167,data413
ts2,0.333,data413
ts2,0.292,data413
ts2,0.292,data413
ts2,0.208,data413
ts2,0.292,data413
ts2,0.25,data413
ts2,0.667,data413
ts2,0.208,data413
ts2,0.208,data413
ts2,0.083,data413
ts2,0.042,data413
ts3,2.417,data413
ts3,2.417,data413
ts3,2.458,data413
ts3,2.458,data413
ts3,2.083,data413
ts3,2.5,data413
ts3,2.417,data413
ts3,2.708,data413
ts3,2.417,data413
ts3,2.792,data413
ts3,2.375,data413
ts3,2.417,data413
ts3,2.458,data413
ts3,2.5,data413
ts3,2.458,data413
ts3,2.542,data413
ts3,2.583,data413
ts3,2.583,data413
ts3,2.5,data413
ts3,2.5,data413
ts3,2.5,data413
ts3,2.458,data413
ts3,2.583,data413
ts3,2.375,data413
ts3,2.542,data413
ts3,2.542,data413
ts3,2.5,data413
ts3,2.458,data413
ts4,0.167,data413
ts4,0.208,data413
ts4,0.25,data413
ts4,0.417,data413
ts4,0.875,data413
ts4,0.208,data413
ts4,0.333,data413
ts4,0.25,data413
ts4,0.208,data413
ts4,0.292,data413
ts4,0.25,data413
ts4,0.167,data413
ts4,0.208,data413
ts4,0.292,data413
ts4,0.167,data413
ts4,0.25,data413
ts4,0.25,data413
ts4,0.25,data413
ts4,0.167,data413
ts4,0.458,data413
ts4,0.25,data413
ts4,0.292,data413
ts4,0.458,data413
ts4,0.208,data413
ts4,0.208,data413
ts4,0.375,data413
ts4,0.208,data413
ts4,0.25,data413
ts5,1.125,data413
ts5,1.375,data413
ts5,0.917,data413
ts5,1.0,data413
ts5,1.792,data413
ts5,1.833,data413
ts5,1.5,data413
ts5,1.625,data413
ts5,1.5,data413
ts5,1.417,data413
ts5,1.542,data413
ts5,1.292,data413
ts5,1.333,data413
ts5,1.5,data413
ts5,0.625,data413
ts5,1.125,data413
ts5,1.625,data413
ts5,0.75,data413
ts5,1.5,data413
ts5,1.542,data413
ts5,1.5,data413
ts5,0.833,data413
ts5,1.583,data413
ts5,0.667,data413
ts5,1.75,data413
ts5,1.5,data413
ts5,0.708,data413
ts5,0.708,data413
ts6,0.458,data413
ts6,0.958,data413
ts6,0.917,data413
ts6,0.958,data413
ts6,1.042,data413
ts6,1.0,data413
ts6,1.0,data413
ts6,1.083,data413
ts6,1.333,data413
ts6,0.917,data413
ts6,1.0,data413
ts6,0.917,data413
ts6,1.0,data413
ts6,1.667,data413
ts6,1.208,data413
ts6,1.042,data413
ts6,0.958,data413
ts6,1.208,data413
ts6,0.958,data413
ts6,1.042,data413
ts6,1.042,data413
ts6,1.042,data413
ts6,1.208,data413
ts6,0.958,data413
ts6,1.208,data413
ts6,0.958,data413
ts6,1.083,data413
ts6,1.042,data413
ts7,3.792,data413
ts7,3.542,data413
ts7,3.583,data413
ts7,3.542,data413
ts7,4.208,data413
ts7,3.667,data413
ts7,3.458,data413
ts7,3.458,data413
ts7,3.708,data413
ts7,3.5,data413
ts7,3.542,data413
ts7,3.833,data413
ts7,4.417,data413
ts7,3.5,data413
ts7,3.417,data413
ts7,3.5,data413
ts7,3.417,data413
ts7,3.458,data413
ts7,3.375,data413
ts7,3.417,data413
ts7,3.417,data413
ts7,3.458,data413
ts7,3.542,data413
ts7,3.458,data413
ts7,3.708,data413
ts7,3.5,data413
ts7,3.625,data413
ts7,3.333,data413
ts8,2.417,data413
ts8,2.333,data413
ts8,2.625,data413
ts8,2.583,data413
ts8,2.667,data413
ts8,2.5,data413
ts8,2.458,data413
ts8,2.458,data413
ts8,2.542,data413
ts8,2.375,data413
ts8,2.417,data413
ts8,2.375,data413
ts8,2.375,data413
ts8,2.375,data413
ts8,2.375,data413
ts8,2.417,data413
ts8,2.375,data413
ts8,2.458,data413
ts8,2.5,data413
ts8,2.375,data413
ts8,2.5,data413
ts8,2.333,data413
ts8,2.417,data413
ts8,2.542,data413
ts8,2.583,data413
ts8,2.625,data413
ts8,2.417,data413
ts8,2.375,data413
