ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8
1.235,0.073,1.073,0.109,1.109,1.437,3.781,2.818
1,0.036,3.781,0.146,1.526,0.692,4.219,2.838
0.964,0.364,2.51,0.073,1,0.672,3.49,2.364
1,0.036,2.417,0.344,0.672,0.656,3.453,2.453
0.745,0.073,2.453,0.109,1.636,0.729,3.292,2.474
1,0.036,2.255,0.146,0.854,0.765,3.599,2.328
1.089,0.073,2.255,0.146,0.599,0.765,3.526,2.672
1.271,0.073,2.708,0.781,1.292,0.781,3.255,2.453
2.073,0.073,2.417,0.109,1.036,0.745,3.255,2.417
0.964,0.073,2.38,0.235,1.271,0.656,3.49,2.364
1.036,0.073,2.526,0.182,0.781,1.292,3.437,2.49
1.818,0.109,2.49,0.109,0.547,1.526,3.49,2.964
1,0.109,2.292,0.198,0.708,0.781,3.364,2.364
1,0.073,2.708,0.235,1,0.781,4.328,2.292
1.109,0.109,2.364,1.891,1.474,0.964,3.49,2.474
1.401,0.636,2.292,0.255,1.599,0.765,3.453,2.474
1.073,0.182,2.401,0.235,1.49,1.109,3.526,2.401
1.073,0.036,2.437,0.109,0.636,1.729,3.51,2.328
1.073,0.036,2.526,0.49,1.583,1.073,3.364,2.328
0.453,0.073,2.328,0.109,1.328,1.964,3.453,2.364
3.891,0.437,2.964,0.271,1.364,0.891,3.292,2.51
1,0.109,2.401,0.109,1.344,1,3.328,2.364
1.109,0.073,2.292,0.255,1.401,0.891,3.417,2.453
1.073,0.109,2.292,0.109,1.526,1.583,3.437,2.364
1.453,0.036,2.49,0.146,1.292,1.453,3.401,2.636
2.182,0.036,2.328,0.344,0.891,0.891,3.526,2.328
2.563,0,2.474,0.219,1.672,1.109,3.474,2.453
